TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-001,ID 정상값 'testuser' 입력 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 'testuser' 입력 후 동작 수행",ID이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-002,ID 정상값 'admin' 입력 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 'admin' 입력 후 동작 수행",ID이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-003,ID 정상값 'player01' 입력 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 'player01' 입력 후 동작 수행",ID이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-004,ID에 비정상값 '' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 '' 입력 후 동작 수행",ID 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-005,ID에 비정상값 '특수문자!@#' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 '특수문자!@#' 입력 후 동작 수행",ID 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-006,ID에 비정상값 '스페이스 포함' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. ID 에 '스페이스 포함' 입력 후 동작 수행",ID 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-007,PW 정상값 'test1234' 입력 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW 에 'test1234' 입력 후 동작 수행",PW이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-008,PW 정상값 'password!' 입력 시 동작 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW 에 'password!' 입력 후 동작 수행",PW이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-009,PW에 비정상값 '' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW 에 '' 입력 후 동작 수행",PW 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-010,PW에 비정상값 'wrong' 입력 시 오류 처리 확인,로그인,게임이 실행되지 않은 상태,"1. 앱 실행
2. 로그인 화면 진입
3. PW 에 'wrong' 입력 후 동작 수행",PW 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
